Product Id;Product Handle;Product Title;Product Subtitle;Product Description;Product Status;Product Thumbnail;Product Weight;Product Length;Product Width;Product Height;Product HS Code;Product Origin Country;Product MID Code;Product Material;Product Collection Title;Product Collection Handle;Product Type;Product Tags;Product Discountable;Product External Id;Product Profile Name;Product Profile Type;Variant Id;Variant Title;Variant SKU;Variant Barcode;Variant Inventory Quantity;Variant Allow Backorder;Variant Manage Inventory;Variant Weight;Variant Length;Variant Width;Variant Height;Variant HS Code;Variant Origin Country;Variant MID Code;Variant Material;Price VND;Option 1 Name;Option 1 Value;Image 1 Url;Sales Channel 1 Id;Sales Channel 1 Name;Sales Channel 1 Description
prod_01JA7X50T3RYYHTDFYVVE0TNKT;laptop acer aspire 3 a314-42p-r3b3 nx.ksfsv.001;Laptop Acer Aspire 3 A314-42P-R3B3 NX.KSFSV.001;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/c/t/ctm.png;400;;;;;;;;;;;;false;;Default Shipping Profile;default;variant_01JA7X5GGAVZT9J2CPF923NHF7;Laptop Acer Aspire 3 A314-42P-R3B3 NX.KSFSV.001;;;100;false;false;;;;;;;;;11990000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/c/t/ctm.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X51DS38BMGATV34VCTKG7;apple macbook air m1 256gb 2020 i chính hãng apple việt nam;Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_5_1.png;400;;;;;;;;;;;;false;;Default Shipping Profile;default;variant_01JA7X5H1SZ9CRZR7G85MVTVKM;Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam;;;100;false;false;;;;;;;;;18490000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_5_1.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X520VREFNNCZK5FPTGXXA;laptop asus vivobook go 14 e1404fa-nk177w;Laptop ASUS VivoBook Go 14 E1404FA-NK177W;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_-_2023-06-08t005130.908.png;400;;;;;;;;;;;;false;;Default Shipping Profile;default;variant_01JA7X5HJZQV646Q5FXNX76KQ4;Laptop ASUS VivoBook Go 14 E1404FA-NK177W;;;100;false;false;;;;;;;;;12390000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_-_2023-06-08t005130.908.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X52M7M2ABE8D9G0PNZR6W;apple macbook air m2 2022 8gb 256gb i chính hãng apple việt nam;Apple MacBook Air M2 2022 8GB 256GB I Chính hãng Apple Việt Nam;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_1__1_8.png;400;;;;;;;;;;;;false;;Default Shipping Profile;default;variant_01JA7X5J4FDQAX82J0ZB9D2RBR;Apple MacBook Air M2 2022 8GB 256GB I Chính hãng Apple Việt Nam;;;100;false;false;;;;;;;;;23990000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_1__1_8.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X53791W7V8WN0MW7CMGWF;laptop hp 240 g9 9e5w3pt;Laptop HP 240 G9 9E5W3PT;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_4__6_41.png;400;;;;;;;;;;;;false;;Default Shipping Profile;default;variant_01JA7X5JNZ1XX0Z02H9A14VEPV;Laptop HP 240 G9 9E5W3PT;;;100;false;false;;;;;;;;;13990000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_4__6_41.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X53TBAVBW4DJRADYD0NTG;laptop lenovo ideapad flex 5 14iau7 82r700jqvn;Laptop Lenovo IdeaPad Flex 5 14IAU7 82R700JQVN;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_14__2_13.png;400;;;;;;;;;;;;false;;Default Shipping Profile;default;variant_01JA7X5K7S7QG24X4YVN1B7XH8;Laptop Lenovo IdeaPad Flex 5 14IAU7 82R700JQVN;;;100;false;false;;;;;;;;;11490000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_14__2_13.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X54E122CNR5Z98PP20M5A;laptop lenovo loq 15iax9 83gs001rvn;Laptop Lenovo LOQ 15IAX9 83GS001RVN;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_9__1.png;400;;;;;;;;;;;;false;;Default Shipping Profile;default;variant_01JA7X5KRZ5P207NFVT5Q4V5TQ;Laptop Lenovo LOQ 15IAX9 83GS001RVN;;;100;false;false;;;;;;;;;21290000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_9__1.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X550S1J6CFNX6HQXE53JP;laptop hp pavilion 15-eg3111tu 8u6l8pa;Laptop HP Pavilion 15-EG3111TU 8U6L8PA;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_10__4_41.png;400;;;;;;;;;;;;false;;Default Shipping Profile;default;variant_01JA7X5MASJF4XG3FVZDQPEPK7;Laptop HP Pavilion 15-EG3111TU 8U6L8PA;;;100;false;false;;;;;;;;;18490000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_10__4_41.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X55KHRGWCE8FM5W3FYM08;laptop asus gaming vivobook k3605zf-rp634w;Laptop ASUS Gaming VivoBook K3605ZF-RP634W;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_-_2024-07-31t163011.265.png;400;;;;;;;;;;;;false;;Default Shipping Profile;default;variant_01JA7X5MXHKSRNEZDFWA375Z6Q;Laptop ASUS Gaming VivoBook K3605ZF-RP634W;;;100;false;false;;;;;;;;;17290000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_-_2024-07-31t163011.265.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X566K6VR91XWZTD1G1Y09;laptop asus vivobook 14 oled a1405za-km263w;Laptop ASUS Vivobook 14 OLED A1405ZA-KM263W;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_15__7_59.png;400;;;;;;;;;;;;false;;Default Shipping Profile;default;variant_01JA7X5NFNEERAEZNZ0FTXJ23C;Laptop ASUS Vivobook 14 OLED A1405ZA-KM263W;;;100;false;false;;;;;;;;;18490000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_15__7_59.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X56SZ81VGAWBDAZHA8DKE;laptop asus zenbook s 14 oled ux5406sa-pv140ws;Laptop ASUS Zenbook S 14 OLED UX5406SA-PV140WS;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_24__3_5.png;400;;;;;;;;;;;;false;;Default Shipping Profile;default;variant_01JA7X5P1SCDXZ45WPQQ05D1ZM;Laptop ASUS Zenbook S 14 OLED UX5406SA-PV140WS;;;100;false;false;;;;;;;;;44990000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_24__3_5.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X57CQTB9XT1AJCMGE0213;laptop gaming acer nitro 5 tiger an515 58 52sp;Laptop Gaming Acer Nitro 5 Tiger AN515 58 52SP;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_1__1.png;400;;;;;;;;;;;;false;;Default Shipping Profile;default;variant_01JA7X5PJZYZ1AKMR1GZZ67Q3C;Laptop Gaming Acer Nitro 5 Tiger AN515 58 52SP;;;100;false;false;;;;;;;;;18990000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_1__1.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X57ZSWSCNY2VYW7EXBZFF;apple macbook air m2 2022 16gb 256gb i chính hãng apple việt nam;Apple MacBook Air M2 2022 16GB 256GB I Chính hãng Apple Việt Nam;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_4__1.png;400;;;;;;;;;;;;false;;Default Shipping Profile;default;variant_01JA7X5Q45ZWN6PD7AARXQ41AT;Apple MacBook Air M2 2022 16GB 256GB I Chính hãng Apple Việt Nam;;;100;false;false;;;;;;;;;28990000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_4__1.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X58M3771SXHBHMAQ4N2AA;laptop acer aspire 3 a315-59-381e;Laptop Acer Aspire 3 A315-59-381E;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/l/a/laptop-acer-aspire-3-a315-59-381e-thumbnails.png;400;;;;;;;;;;;;false;;Default Shipping Profile;default;variant_01JA7X5QNBXM9DD88EVXVTS099;Laptop Acer Aspire 3 A315-59-381E;;;100;false;false;;;;;;;;;9490000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/l/a/laptop-acer-aspire-3-a315-59-381e-thumbnails.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X597SB0B4JRY063TK1VA3;laptop asus tuf gaming f15 fx507zc4-hn074w;Laptop ASUS TUF Gaming F15 FX507ZC4-HN074W;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_4__1.png;400;;;;;;;;;;;;false;;Default Shipping Profile;default;variant_01JA7X5R74R3F43N8DTSB33RSX;Laptop ASUS TUF Gaming F15 FX507ZC4-HN074W;;;100;false;false;;;;;;;;;18990000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_4__1.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X59WPYKAHC3M71JFNDX7V;laptop lenovo loq 15iax9 83gs001svn;Laptop Lenovo LOQ 15IAX9 83GS001SVN;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_5__1.png;400;;;;;;;;;;;;false;;Default Shipping Profile;default;variant_01JA7X5RRN9DZ1ZZ4A9PTB1968;Laptop Lenovo LOQ 15IAX9 83GS001SVN;;;100;false;false;;;;;;;;;19290000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_5__1.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X5AFFD4TFFR3M7VC1BER2;laptop-hp-15s-fq5231tu 8u241pa;Laptop HP 15S-FQ5231TU 8U241PA;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__4_21.png;400;;;;;;;;;;;;false;;Default Shipping Profile;default;variant_01JA7X5SA5V7KCM6HZ7YBENJ53;Laptop HP 15S-FQ5231TU 8U241PA;;;100;false;false;;;;;;;;;10490000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__4_21.png;Default Sales Channel;Default Sales Channel;Created by Medusa
