Product Id;Product Handle;Product Title;Product Subtitle;Product Description;Product Status;Product Thumbnail;Product Weight;Product Length;Product Width;Product Height;Product HS Code;Product Origin Country;Product MID Code;Product Material;Product Collection Title;Product Collection Handle;Product Type;Product Tags;Product Discountable;Product External Id;Product Profile Name;Product Profile Type;Variant Id;Variant Title;Variant SKU;Variant Barcode;Variant Inventory Quantity;Variant Allow Backorder;Variant Manage Inventory;Variant Weight;Variant Length;Variant Width;Variant Height;Variant HS Code;Variant Origin Country;Variant MID Code;Variant Material;Price VND;Option 1 Name;Option 1 Value;Image 1 Url;Sales Channel 1 Id;Sales Channel 1 Name;Sales Channel 1 Description
prod_01JA7X50T3RYYHTDFYVVE0TNKT;Laptop_Acer_Aspire_3_A314-42P-R3B3_NX.KSFSV.001;Laptop Acer Aspire 3 A314-42P-R3B3 NX.KSFSV.001;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/c/t/ctm.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5GGAVZT9J2CPF923NHF7;Laptop Acer Aspire 3 A314-42P-R3B3 NX.KSFSV.001;;;100;False;False;;;;;;;;;11990000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/c/t/ctm.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X51DS38BMGATV34VCTKG7;Apple_MacBook_Air_M1_256GB_2020_I_Chính_hãng_Apple_Việt_Nam;Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_5_1.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5H1SZ9CRZR7G85MVTVKM;Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam;;;100;False;False;;;;;;;;;18490000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_5_1.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X520VREFNNCZK5FPTGXXA;Laptop_ASUS_VivoBook_Go_14_E1404FA-NK177W;Laptop ASUS VivoBook Go 14 E1404FA-NK177W;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_-_2023-06-08t005130.908.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5HJZQV646Q5FXNX76KQ4;Laptop ASUS VivoBook Go 14 E1404FA-NK177W;;;100;False;False;;;;;;;;;12390000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_-_2023-06-08t005130.908.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X52M7M2ABE8D9G0PNZR6W;Apple_MacBook_Air_M2_2022_8GB_256GB_I_Chính_hãng_Apple_Việt_Nam;Apple MacBook Air M2 2022 8GB 256GB I Chính hãng Apple Việt Nam;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_1__1_8.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5J4FDQAX82J0ZB9D2RBR;Apple MacBook Air M2 2022 8GB 256GB I Chính hãng Apple Việt Nam;;;100;False;False;;;;;;;;;23990000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_1__1_8.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X53791W7V8WN0MW7CMGWF;Laptop_HP_240_G9_9E5W3PT;Laptop HP 240 G9 9E5W3PT;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_4__6_41.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5JNZ1XX0Z02H9A14VEPV;Laptop HP 240 G9 9E5W3PT;;;100;False;False;;;;;;;;;13990000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_4__6_41.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X53TBAVBW4DJRADYD0NTG;Laptop_Lenovo_IdeaPad_Flex_5_14IAU7_82R700JQVN;Laptop Lenovo IdeaPad Flex 5 14IAU7 82R700JQVN;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_14__2_13.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5K7S7QG24X4YVN1B7XH8;Laptop Lenovo IdeaPad Flex 5 14IAU7 82R700JQVN;;;100;False;False;;;;;;;;;11490000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_14__2_13.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X54E122CNR5Z98PP20M5A;Laptop_Lenovo_LOQ_15IAX9_83GS001RVN;Laptop Lenovo LOQ 15IAX9 83GS001RVN;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_9__1.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5KRZ5P207NFVT5Q4V5TQ;Laptop Lenovo LOQ 15IAX9 83GS001RVN;;;100;False;False;;;;;;;;;21290000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_9__1.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X550S1J6CFNX6HQXE53JP;Laptop_HP_Pavilion_15-EG3111TU_8U6L8PA;Laptop HP Pavilion 15-EG3111TU 8U6L8PA;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_10__4_41.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5MASJF4XG3FVZDQPEPK7;Laptop HP Pavilion 15-EG3111TU 8U6L8PA;;;100;False;False;;;;;;;;;18490000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_10__4_41.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X55KHRGWCE8FM5W3FYM08;Laptop_ASUS_Gaming_VivoBook_K3605ZF-RP634W;Laptop ASUS Gaming VivoBook K3605ZF-RP634W;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_-_2024-07-31t163011.265.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5MXHKSRNEZDFWA375Z6Q;Laptop ASUS Gaming VivoBook K3605ZF-RP634W;;;100;False;False;;;;;;;;;17290000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_-_2024-07-31t163011.265.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X566K6VR91XWZTD1G1Y09;Laptop_ASUS_Vivobook_14_OLED_A1405ZA-KM263W;Laptop ASUS Vivobook 14 OLED A1405ZA-KM263W;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_15__7_59.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5NFNEERAEZNZ0FTXJ23C;Laptop ASUS Vivobook 14 OLED A1405ZA-KM263W;;;100;False;False;;;;;;;;;18490000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_15__7_59.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X56SZ81VGAWBDAZHA8DKE;Laptop_ASUS_Zenbook_S_14_OLED_UX5406SA-PV140WS;Laptop ASUS Zenbook S 14 OLED UX5406SA-PV140WS;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_24__3_5.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5P1SCDXZ45WPQQ05D1ZM;Laptop ASUS Zenbook S 14 OLED UX5406SA-PV140WS;;;100;False;False;;;;;;;;;44990000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_24__3_5.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X57CQTB9XT1AJCMGE0213;Laptop_Gaming_Acer_Nitro_5_Tiger_AN515_58_52SP;Laptop Gaming Acer Nitro 5 Tiger AN515 58 52SP;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_1__1.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5PJZYZ1AKMR1GZZ67Q3C;Laptop Gaming Acer Nitro 5 Tiger AN515 58 52SP;;;100;False;False;;;;;;;;;18990000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_1__1.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X57ZSWSCNY2VYW7EXBZFF;Apple_MacBook_Air_M2_2022_16GB_256GB_I_Chính_hãng_Apple_Việt_Nam;Apple MacBook Air M2 2022 16GB 256GB I Chính hãng Apple Việt Nam;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_4__1.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5Q45ZWN6PD7AARXQ41AT;Apple MacBook Air M2 2022 16GB 256GB I Chính hãng Apple Việt Nam;;;100;False;False;;;;;;;;;28990000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_4__1.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X58M3771SXHBHMAQ4N2AA;Laptop_Acer_Aspire_3_A315-59-381E;Laptop Acer Aspire 3 A315-59-381E;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/l/a/laptop-acer-aspire-3-a315-59-381e-thumbnails.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5QNBXM9DD88EVXVTS099;Laptop Acer Aspire 3 A315-59-381E;;;100;False;False;;;;;;;;;9490000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/l/a/laptop-acer-aspire-3-a315-59-381e-thumbnails.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X597SB0B4JRY063TK1VA3;Laptop_ASUS_TUF_Gaming_F15_FX507ZC4-HN074W;Laptop ASUS TUF Gaming F15 FX507ZC4-HN074W;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_4__1.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5R74R3F43N8DTSB33RSX;Laptop ASUS TUF Gaming F15 FX507ZC4-HN074W;;;100;False;False;;;;;;;;;18990000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_4__1.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X59WPYKAHC3M71JFNDX7V;Laptop_Lenovo_LOQ_15IAX9_83GS001SVN;Laptop Lenovo LOQ 15IAX9 83GS001SVN;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_5__1.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5RRN9DZ1ZZ4A9PTB1968;Laptop Lenovo LOQ 15IAX9 83GS001SVN;;;100;False;False;;;;;;;;;19290000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_5__1.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X5AFFD4TFFR3M7VC1BER2;Laptop_HP_15S-FQ5231TU_8U241PA;Laptop HP 15S-FQ5231TU 8U241PA;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__4_21.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5SA5V7KCM6HZ7YBENJ53;Laptop HP 15S-FQ5231TU 8U241PA;;;100;False;False;;;;;;;;;10490000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__4_21.png;Default Sales Channel;Default Sales Channel;Created by Medusa
